学年,年度,授業開始時間,科目,コメント
中3,2026,2026/7/31 17:20,数学,本日から関数に入ります。最初は一次関数から始めました。説明した通りにしっかり考えられていてどんどん進められそうですが、用語をすぐに忘れがちなので、変化の割合、傾き、切片などの用語をすぐに思い出せるようにしていきましょう。また、求めるのは式なのでaやbを出しただけで満足せず、何を問われているかを確認するようにしてください。
小6,2026,2026/7/31 17:20,国語,"本日も引き続き科学技術系の説明文に取り組みました。宿題で問いてきてもらった文章は最後の問い以外は完璧でしたが、最後の問いは該当箇所を一緒に読んで設問を確認しても最後まで正解の選択肢を選べませんでした。「〇〇という仮説が法則ではなさそうなのはなぜ」という問いなのに法則である理由を選んでしまっていたようです。見慣れない用語の際にも正しく文の意味を把握できるようにしていきたいところです。
その後の文章は非常によく出来ていました。複数要素がある場合に最初の要素のみ書いてしまうので、字数が余っているときは他にもないか考えるように指導しています。"
中2,2026,2026/7/31 12:50,数学,"数学はある程度分かっていそうだったため、　連立方程式の解き方から始めました。なんとなくは分かっていたものの、そもそも、xかyのどちらかを消した式を作りたい⇒xかyの係数を揃えるという流れ、意味が分かっていないようでしたので、何度か確認しました。また、符号の計算が時折怪しいので、縦に変形して途中式を消さずに一つ一つ確認しながら書いていくようにしましょう。どこで間違えたかを知ることも大切なので、基本的には消しゴムを使わずに全部ノートに残すようにしてください。また、最後に等式を解く際にそのまま当てはまる数字を探すのではなく、移項してx= やy=の式を作ることで解くようにしていきましょう。
"
中1,2026,2026/7/31 12:50,英語,"宿題範囲はは良く出来ていました。その後演習問題に取り組みました。数字の綴りを時折間違えているので、出てきたものは覚えておきましょう。muchとmanyの区別は出来ているもののやや混乱していたので、many books とmatch moneyで整理しておきました。空所補充タイプの問題はまず選択肢を見て何が問われているのかを考えるようにしていきましょう（今回だとlittleやfewなので名詞が数えられるか数えられないかさえ分かればほかの部分は見なくても解けます）
最後に少し比較に入りました。一度やっていることもありスムーズに進めることが出来ました。"
中1,2026,2026/7/31 11:20,国語,本日も引き続き文法の単元に取り組みました。前回の内容の演習問題でしたが、まず主語を考えるときは述語から考えるようにしましょう。私の、などの連体修飾語に引っかかってしまうケースが多いです。また、文節で答える問題なのに単語だけ書いてしまうことも多いです。1問1問丁寧に取り組むようにして下さい。
高3,2026,2026/7/31 9:50,理科,"本日は数学の不明点の解決から始めました。整数問題はいかに範囲を絞るかがポイントなので、いくつか数字を当てはめて傾向を掴むのも有効です。
生物についてはまずリードライトのまとめの部分を読みながら、イメージがわかないところ、意味がわからないところは教科書や図表を参照して理解を深めましょう。その後に後ろの問題を解いていくようにしてください。できるだけ早く終わらせたいので、10ページぐらいを目安に進めていきましょう。"
中1,2026,2026/7/31 9:50,数学,"本日も宿題の確認から始めました。まだ符号の見落としが多いので、とにかく式をきちんと書いて計算するようにしましょう。計算の仕方は分かっているのに符号のミスで間違っている事が多いのと、式を書いていないためにイチからやり直さなければならないのも勿体ないです。
後半は方程式に入りました。等式の性質をきちんと理解して変形することが出来ていました。次回続きから扱います。"
中3,2026,2026/7/30 18:50,英語,まずは宿題の確認から始めました。多めに出していましたがやってきて素晴らしいです。空所補充の際に動詞が抜けがちなので、本当に正しく書き換えられているかを確認しながら解くようにしましょう。授業では不定詞動名詞の名詞的用法を扱いました。どちらも〇〇すること、という意味のかたまりを作るためのものであることを常に考えながら問題に取り組みましょう。
中1,2026,2026/7/30 17:20,数学,"本日は宿題の確認で文字式の計算から始めました。マイナスの括弧を外す際に後ろの項にかけ忘れている点は引き続き注意していきましょう。その点以外はよく出来ていました。その後文字式で関係性を表す問題に取り組みました。比較的良く出来ていましたが、逆に式を日本語で表す問題は苦戦してしまいました。自分が式を作るときも、2aや4xが何を表しているか巻変えることは大切なので練習していきましょう。
最後に方程式の範囲に少し入りました。方程式の解は代入したら成り立つものであること、両辺に同じ計算をしてx以外の数字を消していくことを覚えておきましょう。次回はP81の確認問題から始めます。"
中3,2026,2026/7/30 17:20,数学,本日は二次方程式の利用を再度扱いました。方程式の問題はとにかく求めるものをxとおいて式を作りその式を解くだけで余計なことを考えなくても良いことが利点ですので、面倒くさがらずに式を作って下さい。式が書けないときは図を書いて長さなどを書き込むようにしましょう。
中2,2026,2026/7/30 11:20,英語,本日は現在位置の把握も兼ねて、中1の復習の単元から始めました。単語などはなんとなく覚えられているようですが、スペルの間違いが多いので、間違えた単語は書き出して毎回覚えるようにしていきましょう。be動詞、一般動詞の否定文疑問文などは、基本形は覚えているものの使い分けが出来ていない様子です。動詞は一個しか使わない、be動詞と一般動詞ではルールが違うという点を伝えると正しく答えることができました。まだ定着はしていないので、今後も確認しながら進めていきます。並び替えや英作文の語順も怪しかったので、まず主語と動詞、その後は動詞に基づいて考えるように指導しています。
高3,2026,2026/7/30 9:50,数学,"本日は整数問題の続きを進めました。応用問題も自分で理解を深めながら進めることが出来ていました。整数であることがポイントなので、その点を意識して取り組んで下さい。できるだけ夏休み中に終わらせていきたいので、1日4題以上を目安にどんどん進めていきましょう。
何とか粘って少しずつ生活リズムを正していきましょう。"
小6,2026,2026/7/30 9:50,算数,本日は宿題範囲の確認から始めました。比例のやや応用の問題で、y=axの式を作るのに苦戦してしまうことがありました。数値がイメージしやすいものだと出来るが、小数や分数が入るとできない、式を作れない印象です。◯を使って一度式を作るとできることもあるので、その方法で進めていければと思います。その後比例のグラフを扱いました。グラフの読み取りはしっかり出来ていてスムーズに進めることができました。
高3,2026,2026/7/29 20:20,英語,本日はやや複雑な英文を用いて英文解釈の練習を行いました。文法知識はある程度身についてきているようですので、それを用いて素直には訳せないタイプの英文を訳す練習をしていきます。今日やったように、前置詞があったら名詞を探す、andやbutのつなぐものを考える、SVOCの受動態を意識するなど、考え方を身に着けていくようにしましょう。
中2,2026,2026/7/29 18:50,数学,"本日は一次関数の利用、直線と交点などを扱いました。利用の問題はある程度考えられていましたが、まだまだ数字を適当に組み合わせている印象があります。必ず図を書いてxがどの部分を表すかを考えてから式を作りましょう。
直線と交点の問題では座標自体が分かっていなかったようで改めて確認しました。以前やった交点の座標の求め方はなんとか思い出すことができました。この辺りはこれまでやったことの組み合わせなので、答えを出すために何を考えなければいけないのか、自分は今何を出しているのかを考えながら、式とグラフを自在に行き来出来るようにしていきましょう。"
中2,2026,2026/7/29 18:50,英語,本日は宿題をあまりやってきていなかった＆前回内容をほとんど忘れていたため再度be動詞と一般動詞の否定文、疑問文から始めました。再度解いてもらったところなんとなく書いている様子でしたが、基本的な文の形を確認した後はある程度その通りに書くことが出来ていました。単語や人称代名詞など基本的な知識が抜けているので、都度覚えながら進めるようにしましょう。明日はP8から進めます。
中2,2026,2026/7/29 18:50,数学,2コマ連続のため、2コマ目にまとめて記載いたします。
小6,2026,2026/7/29 15:50,算数,本日も引き続き面積比を扱いました。前回の授業でやった例題や類題は全く覚えていない様子で改めてイチから説明しました。次のタイプの問題も同様で、底辺が等しいときは面積の比=高さの比を説明しているときは頷いてくれるものの、ただそれを当てはめれば良い問題でも完全に停止してしまいます。この辺の比は何と同じ？と聞いても説明した際の板書ではなくテキストの何処かに答えを探している印象で、なかなか答えられませんでした。一方で一度問題を解くと同じ形式の問題は解けることから、解き方を覚えて当てはめる習慣が強過ぎて意味を考えることや試行錯誤してみることができなくなっているようです。この習慣をなんとか崩せるようにしていきたいと思います。
高3,2026,2026/7/28 17:20,数学,"本日も引き続き基礎問題精講を進めました。データ分析、整数問題ともに順調に進んでいるようで何よりです。答えを書く前に何が問われているのかをチェックしてから書くようにしてください。途中で答えを見たものについては後で確認できるように問題に印をつけておきましょう。
そろそろ1Aが終わるので2Bを購入しておいてください。"
小6,2026,2026/7/28 17:20,算数,本日は比例について扱いました。基本的な関係性、表の穴埋めはよく出来ていました。計算が二段階必要なものになると手が止まってしまったり、何を計算するのか分からなくなってしまっている印象でした。対応表を作ると計算できているので自分で書いてみるように指導していますが、まだ書かずに悩んでいることも多いので根気強く伝えていきます。
小6,2026,2026/7/28 15:50,国語,"本日は言語事項の確認から始めました。敬語はよく出来ていましたが、熟語の成り立ちなどは一度やった問題も多かったものの意味はあまり覚えていませんでした。
その後は科学系の説明文を扱いました。1つ目はある程度きちんと読めていたようですが、抜き出し問題の指示を完全に無視してしまっていました。また、2つ目も同様で、意味を考えずに傍線部の周辺を適当に書き抜いた印象です。まず設問をきちんと読むこと、問われている内容がどのあたりに書いてあるか考えることからスタートできればと思います。"
中3,2026,2026/7/27 18:50,数学,本日も引き続き二次関数の応用問題に取組みました。一つ一つは理解できるものの自分では考えられていないという状況です。図はかなりきちんと書き込むようになってきましたが、問題文でわからなかったことの何が分かるようになったのかを気付けるようになるまで演習を積む必要がありそうです。問題を解いたあとに何をどの順番で考えたのか？聞かれたことを求めるために逆算するとどうなるのか？などの、数学の応用問題の考え方を鍛えていければと思います。
中2,2026,2026/7/27 18:50,数学,本日も中1の復習から始めました。正負の計算の特に足し算、引き算がまだ怪しいのでこの点は今後も注意して見ていきます。文字式の計算は比較的よく出来ていましたが、前述の計算自体が怪しいのと、マイナスの括弧を外す際に分配されることへの意識が甘いため気を抜くと間違えてしまう状況です。その後中2範囲に入り多項式の計算を扱いました。項や次数といった言葉の定義を覚えていないようだったので、しっかり覚えていきましょう。
中1,2026,2026/7/27 17:20,国語,"本日は前回範囲の復習から始めました。記述問題で設問への意識が甘い点が注意が必要です。書き始める前に再度何を問われているのか、なんと答えるのかをチェックするようにしましょう。
その後文法トレーニングに進みました。こちらも同様で、主部なのか主語なのかなどに気をつけて取り組みましょう。文節で答える問題で単語で答えてしまうことが多いのも気になります。言われれば気付けるようですが、自分で確認する癖をつけていきましょう。
また、連用修飾語がやや苦手なようです。そもそも修飾するという意味、関係性がピンときていないようなので問題文を細かく分析しながら確認していきました。まだ苦手なようなので次回も扱います。"
中2,2026,2026/7/24 18:50,数学,本日は連立方程式の利用の文章題を扱いました。宿題の範囲があまりできていませんでした。最初は式はあっているものの計算で間違っており、特に引き算が怪しいので丁寧に計算し確認しながら進めるようにしましょう。次の代金等の問題はよくできていましたが、最後の2桁の整数を扱うタイプの問題はやや抽象度が高いこともあって苦戦してしまいました。十の位をx、一の位をy、元の数が10x+y、入れ替えた数が10y+xはどの問題でも変わらないのでこれは覚えてしまって、あとは設問の○○は○○の4倍とか、○○と○○の和は13とかを順番に式にしていきましょう。
中2,2026,2026/7/24 18:50,"国語,数学",本日は学校の数学のワークが分からないとのことだったので、連立方程式の速さに関する単元を扱いました。問題によって与えられる数値と求める数値が違うためどんな式を作ればよいかがわからなくなっているのが要因です。速さの問題は道のりか時間の式を作ること、その前に表を作って問題を整理することが重要です。また、単位がkmなのかmなのか、時間なのか分なのかにも気を付けて式を作りましょう。
中1,2026,2026/7/24 17:20,数学,"最初に学習状況を確認しましたが、夏休みの宿題も7月中に終わりそうとのことで順調そうです。英単語が覚えられないとのことだったので、その場で1ページ分覚えながらやり方を確認しました。
数学についてはまず宿題の確認をしましたが、かなりちゃんとやってきてくれたようです。割合はやっているうちにやり方だけ覚えて意味を忘れているようだったので再度確認し、分数の掛け算についても復習しました。その後文字式について扱いました。項や係数といった言葉の定義通りに考えるのが苦手なようで、何回もマイナスを忘れたり文字を混ぜたりしてしまっていますが、その後の計算は比較的スムーズに進められました。が、今度は分数の足し算が出来ていなかったので復習しました。"
小5,2026,2026/7/24 15:50,国語,本日も引き続き説明文を扱いました。読んでいる途中でやや集中力が低下した様子ではありましたが、一度会話して内容を整理して設問を解き始めてからはどんどん進めることが出来ていました。正答率も高いです。記述問題は参照箇所は合っているものの、求められるボリュームの倍ぐらいを丸ごと抜き出すような書き方になってしまっているので、◯が・するぐらいのシンプルな文で考えてから付け足していくように伝えています。ただこの部分が苦手な印象で、全体としても文の意味がわかっていないわけではないが、抽象化や対比の把握等ができていないようです。今後も一言で言うと？何を比べてる？などの問いかけをしながら鍛えていきます。
中3,2026,2026/7/23 20:20,英語,"そろそ宿題をきちんとやってくるようにしてください。
本日は不定詞と動名詞を扱いました。前の動詞、前置詞に応じて不定詞か動名詞かを選択する問題はよくできていました。どちらも動詞を変形させて「～すること」という意味になるカタマリをつくるという根本をしっかり頭に入れて問題に取り組むようにしてください。宿題は前回分もあるのでやや多いですが、難しい問題ではないのでどんどん進めるようにしましょう。また、分からなかった単語はメモしておくようにしてください。
"
高3,2026,2026/7/23 18:50,英語,本日も構文の確認を行いました。まず主語になるのは名詞だけ、前置詞がついている名詞は主語にならないという大原則を押さえましょう。また、分詞や不定詞、動名詞などを復習しながら進めるようにして下さい。今やっている内容は一文を文法に基づいて正確に訳すためのものなので、その観点を忘れずに取り組みましょう。分からないところはメモしておいて授業の際に質問するようにして下さい
中3,2026,2026/7/23 18:50,英語,"宿題はきちんとやってきてくれていますが、受動態の1番重要なポイントである目的語を主語にした文という点が抜けていたので再度説明しました。復習の際は問題を解く前に説明部分を確認するようにしましょう。
今回は関係代名詞の目的格を扱いました。初めての単元でしたがよく理解できていたと思います。最上級や受動態が絡む問題で間違えてしまっていたのでしっかり復習していきましょう。"
小5,2026,2026/7/23 15:50,算数,"本日は平均の続きで面積図を扱いました。説明の後問題を解いてもらうとほとんどできず、改めて解きながら説明しました。その後類題を解いてもらいましたが、例題のままの図を書いて大小関係が逆になってしまいました。指摘すると気付けるのですが、自分で考えながら解ける状態には至っていないようです。また、小数の計算がやや怪しかったので再度確認しました。
その後単位量あたりの計算を扱いました。この単元は皆苦手ですが、やはりなんとなく大きい数字を小さい数字で割ってしまったので、〇〇あたりと書かれている数字で割るように指導しています。最初に意味を確認しましたがそこから計算式を出すまでは出来なかったので、まずは計算方法を覚えて貰えればと思います。"
中2,2026,2026/7/22 18:50,英語,本日はテキストの最初の中1の復習の範囲を進めていきました。まずbe動詞と一般動詞の区別、それぞれの否定文や疑問文の作り方が分かっていないようだったのでその点の説明から始めました。なんとなく疑問文だからDoから、みたいな感じて書いてしまっているので、be動詞の文であればbe動詞を前にだす、一般動詞はDoを前につけるというように、機械的に処理していくように伝えています。まずはこのあたりの基本事項を復習したうえで2年生の範囲に進み、夏期講習中に多少2学期の予習が出来ればと思います。
中2,2026,2026/7/22 18:50,数学,"本日は引き続き一次関数のグラフを扱いました。前回の内容を忘れてしまっていたようですので、宿題は早めに取り組むようにして下さい。
そのまま一次関数の利用の単元に進みました。まだなんとなく掛けてみたり代入してみたりする癖が見られます。問題で問われていることがグラフの何に当たるのか、直線の式の何にあたるのかを一つ一つ考えながら取り組みましょう。面積を求める問題では必ず図を書いてら、底辺や高さがどう表されるのかを書き込んでから図に沿って計算しましょう。適当に数字を取ってきて計算するのはNGです。"
中3,2026,2026/7/22 17:20,国語,"本日はこれから受験に向けて何をしなければならないのかを、過去問等を見ながら一緒に整理していきました。夏休みの間には神山に向けて志望理由を形作っていくこと、動画課題の題材となるモノづくり、筆記試験の対策が必要となります。木更津高校に向けては当日のテストで7割が目安ですので、過去問で見たように基本問題を落とさずに得点することが非常に重要です。
授業は数学と国語という形式にして、数学はまず中3の残りの範囲を早期に終わらせつつ基本を固めたうえでで神山で出るような思考力問題に取り組んでいくこと、国語では神山の過去問を中心に読解力を鍛えつつ、小論文の問題にも取り組み文章を書く力も養っていければと思います。"
小6,2026,2026/7/22 15:50,算数,"引き続き三角形の面積比について扱いました。前回やった三角形の一部を分数で表す方法を忘れてしまっていたので再度確認しました。また、分数で表したあとにそのまま比で表すことが出来ず、一旦面積を出してから比に戻すという二度手間も発生してしまっており、全体として比で表す、分数で表すといった概念がまだ身についていない印象を受けます。その後は四角形の面積比に入っていきました。説明しているときや詰まった時の問いかけは正しく答えられているのですが、自分でゼロから解くとなると三角形の時の解き方をそのまま当てはめてしまいます。
一度書いた式を使ってこれは何を計算してる？どこの面積？などを問いかけながら、自分で考えて式を作れるように鍛えていければと思います。"
中3,2026,2026/7/21 20:20,数学,"本日は二次方程式の解き方を復習したあと応用の問題に取組みました。まずどの問題も解き方を覚えるのではなく何をやっているのかの意味を考えながら取り組むようにしましょう。数学は比較的理解できていると思うので、忘れないようになぜこの作業をしているのかを意識して取り組んで下さい。
応用の問題はとにかく式を作り、作ったらそれを解くこと、xを出したら問われているものが何かを確認したうえで答えを書くことに気を付けましょう。
"
中2,2026,2026/7/21 18:50,英語,"本日も引き続き不定詞を扱いました。何度もやっていますが、前から訳せば良いわけではないので、必ず構造を確認し、その通りに訳すように徹底していきましょう。今回やったIt is - for 人to doも形を覚えてその通りに書く、訳すことを徹底しましょう。
また、基本単語がかなり抜けているので単語を覚える時間を必ず取ってください。説明したとおり、まず訳す練習、次に単語を言う練習、最後に書く練習の順に進めましょう。
"
小6,2026,2026/7/21 17:20,算数,"本日は宿題の体積の求め方を確認から始めました。基本は問題なく出来ていましたが、複雑な図形の際に三角形なのに÷2を忘れてしまっていたので注意が必要です。
後半はおよその面積でいびつな図形の面積や体積を扱いました。こちらは良く出来ていました。
最後に持ってきてもらった志学館の過去問を一緒に確認しました。大問1,2はすでに習ったやり方で解くことが出来ますが、残りの問題に関してはやや特殊な考え方が必要な物があるので、今のテキストが終わったら予定通りやや難しいテキストに進み、その後に過去問に取り組みます。"
高3,2026,2026/7/21 17:20,数学,"本日は確率について学びました。しっかり疑問点を洗い出していて素晴らしいです。確率は排反や余事象など用語がややこしい部分はありますが、あまりそこにとらわれず、どうすれば確率を計算できるかをしっかり状況をイメージして考えるようにしていきましょう。
数2Bも取り組んでいきたいので残りの問題をどんどん進めるようにして下さい！"
小6,2026,2026/7/21 15:50,国語,"本日も引き続き説明文を扱いました。宿題でやってきた文章は良く出来ていましたが、まだ指定字数に対して半分ぐらいしか書かないまま終えてしまっていることがあります。9割以上を目指して字数を確認しながら書くこと、要素が足りない場合は理由を補うことを伝えています。
また、後半の文章では内容がやや難しかったのもありますが、何によるものですかという問いの意味が分かっていなかったようで改めて因果関係について説明しました。簡単な例文だと意味が分かるので、知らないと言うよりは、自分が分からないテーマについての文章を論理関係から読み解くという行為をしていない印象です。出来るだけつまり？なんで？たとえば？を問いかけながら進めさせて姿勢及び技能を鍛えていければと思います。"
中2,2026,2026/7/20 18:50,数学,今回は学校の宿題を少し確認したところ、連立方程式の解き方は分かっているがそもそも式変形の方法が怪しい印象だったため、テキストの前半の1年の復習の単元を最初から進めていきました。基本は正負の数の計算を扱いましたが、5-(-5)=5+5といったマイナスのかっこを外す際の計算、-9-12のようなマイナス引くマイナスの計算が苦手な印象を受けました。その他の問題はよくできています。全く覚えていないというよりは忘れている、理解はしているけれど身についていないままのようですので、この点は夏休みの課題として進めていきます。
中3,2026,2026/7/20 18:50,数学,"本日も放物線と図形の単元を扱いました。この単元はとにかく点の座標を文字で置く→成り立つ式を作る→式を解くが鉄則です。が、そもそもある点を通るということは、その直線の指揮に点の座標を代入できるということだという基本事項がまだ身についていないようでした。また、図を書いて自分で分かる部分を書き加えていくという試行錯誤する部分も少し弱い印象なので、一通り範囲が終わったら過去問等を通じて練習が必要そうです。
宿題で一次関数の基本問題を出しているのでしっかり復習してきてください！"
中1,2026,2026/7/20 17:20,国語,"本日は最初に高校入試の仕組みについて少し話しました。まだ具体的な志望校があるわけではないですが、内申点を上げるためにも夏休みの間に理科は一通り予習していきましょう。
国語はワークを進めていきました。全体的には良く出来ていましたし、読むのも解くのも早さは十分です。一方で、〇〇はこのためです、という表現の意味がわかっていなかったため、因果関係について確認しました。また、内容説明問題も本文と書き方が違うと書けなくなってしまっている箇所があったため、書かれている内容をまとめて表現する練習も必要そうです。ある程度テキストをすすめたらそのあたりに取り組んでいきます。"
小5,2026,2026/7/20 15:50,国語,本日も引き続き説明文で段落関係を扱いました。本文と設問で違う書き方(〇〇がその代表的な例でしょう、代表的な例として〇〇が挙げられる)になっている時にうまく考えることが出来ていませんでした。このあたりの、書き方は違うけれども言っていることは同じを理解できるかどうかが文章読解においても選択肢の問題でも非常に重要なので、文章の一部分を簡単に言い換える練習などで鍛えていければと思います。また、後半は対比がうまく掴めなかったようです。法律と憲法が違うものであるという知識がなかったのが一番の要因ですが、文章の書き方から対比を見抜く練習も必要そうです。
中2,2026,2026/7/17 18:50,数学,"本日は宿題範囲のできなかったところを復習した後、割合の問題に進みました。宿題範囲の代金の問題は計算の仕方の誤りが要因で、十の位と1の位の数はややながい文を式にするのに苦戦した様子でした。わかりにくい時は塊をそれぞれAとB
に置き換えて式を作るように指導すると正しく式を作ることが出来ていました。割合についてはそもそも100円の30%等が怪しかったのでその点の復習から始めました。一応理解してくれたようには思うので次回進めていきます。
理科と社会の夏休みの宿題は早めに取り組むようにしてください！"
中2,2026,2026/7/17 18:50,国語,本日は数学の単元テストの復習から始めました。表面は計算の間違い（式どうしを引くのか足すのかがあいまいになっている）が失点の要因で、裏面の利用の問題は式をなんとなく作ってしまっている様子でした。割合では変化量を表しているのか変化後を表しているのかを考えること、速さ関連の問題であれば道のりの式と時間の式を作ることを覚えておくことが出来れば、自分で式を作ることが出来そうです。
中1,2026,2026/7/17 17:20,数学,本日は文字を使って数量を表す単元を扱いました。まず分数の計算や割合の概念、面積の求め方など、小学校の内容が完全に抜けているためその点を復習しつつ進めました。一度説明した後は問題なく解けているものも多いですが、文章であらわされているタイプの問題はなんとなく式を作っていることが多いです。落ち着いてじっくり読めば自分で解けないわけではないので、一つ一つ頭を使いながら取り組むようにしていきましょう。
小6,2026,2026/7/17 17:20,国語,今回も引き続き論理について学習し、対比を扱いました。対比の関係はよく理解できていて、ほとんど間違えることなく進められました。むしろヨーロッパはイタリアやフランスの総称であるということや、オアシスとは何かなど、言葉を知らいないことによって間違えてしまう問題が多かったため、今後も文章を扱いながら語彙力を高めていければと思います。次回からはテキストに戻って文章を進めていきます。
小5,2026,2026/7/17 15:50,国語,本日も引き続き説明的文章を扱いました。前半の問題はスムーズに解くことが出来ましたが、後半の全体を問うような問題、筆者の考えを問うような問題は苦戦してしまいました。やや論説文ぎみだったため、一般論と筆者の意見の対比や、事実と意見の違いがよく分かっていなかったように思います。段落ごとに何の話をしているのか確認し、どこからどこまでが一般論なのか等を一緒に確認してなんとか答えに辿り着くことができました。今後も同様に考える時間を作っていきたいと思います。
中3,2026,2026/7/16 20:20,英語,"本日は前置詞とThere is の文について扱いました。知らないものも多かったですが、一度やったものは比較的すぐに覚えて使うことが出来るようになってきました。このあたりからは一文の単語数も増えてくるので語順を意識して考えるようにしていきましょう。
宿題はやや多めなので毎日取り組むようにしてください。範囲的には基本事項の復習なのでどんどん進められるはずです。"
中1,2026,2026/7/16 17:20,数学,"最初に宿題を確認しました。これまでに比べると途中式を書いてくれることが増えた点は非常に素晴らしいです。
間違っているポイントは2点で、マイナスの括弧を外す時の2項目の符号を変え忘れていることと、分数で割る際にそのままかけてしまっていることです。今後も使う法則なので正しい方法を確認した後次の単元に進みました。文字式×数の計算でしたが、やはり分数は苦手なようで、3分の1を掛けるはずが3を掛けてしまったり、2項目に掛け忘れてしまったりしています。とにかくこのあたりのミスを防がなければならないので、縦に式変形すること、符号の位置を揃えることを指導しています。
最後に方程式に入りました。おおよそ問題なくできていますが、余りのある計算などは混乱してしまっていたので、図を書いてみたり普通の数字で式を作って見るように指導しています。
※次回夏休みの宿題一覧を持ってきてください！"
小5,2026,2026/7/16 15:50,算数,"本日は平均を扱いました。計算の仕方はすんなりと理解してくれたようですが、小数点が出てくる割り算のやり方を覚えていなかったようで、改めて位について確認しました。そもそも15が15.0であることが分かっていなかったようなので再度説明しました。0.9が1より小さいことは分かるものの、計算するときはそんなことにお構いなしで15を0.15にしてしまうなど、まだまだ作業手順としてしか捉えられていないようです。同様に、平均を求めることは出来ても合計と平均から個数を求めるなどはできないこともあります。まず大まかに数値を予想して書いた上で問題に取り組むことで間違いに自分で気付けるようにしていきます。
問答中はしっかり考えて答えてくれるようになってきた気もするので、引き続き意味を問いかけながら進めていきます。"
高3,2026,2026/7/15 20:20,英語,本日も引き続き構文の演習を進めました。主に接続詞についての単元でしたが、全体としてはかなりスムーズに構文を考えられるようになってきました。一方で品詞への意識はまだまだ弱く、形容詞や前置詞+名詞をOにしてしまうことが多いのでその点は注意が必要です。今やっている基本的な形を正確に訳せるようになればあとは単語を覚えながらスピードを上げていくだけなので、一つ一つ丁寧に復習しておいてください！
中2,2026,2026/7/15 18:50,英語,本日は不定詞の副詞的用法の復習の後、形容詞的用法へと進みました。どちらもそうですが、不定詞の単元は日本語のどこからどこまでが不定詞のカタマリなのかを考えてから取り組むようにしてください。「私は○○のために××する」だったら、英語は「私は××するto〇〇」になるという感覚をつかめるかどうかがポイントです。今回の形容詞的用法も同様で、読むべき本はa book to read で、to read a book(本を読むこと）ではないということを意識しながら問題に取り組みましょう！
中2,2026,2026/7/15 18:50,数学,"本日は宿題の一次関数の式を求める単元から始めました。初めはよくできていたのに、途中からやり方が変になってしまっていました。
後半の一次関数のグラフを書く単元も少し理解に時間が掛かりましたが、残りの問題は間違えずに解き切ることが出来ました。最後に連立方程式の利用の問題に戻りましたが、式を間違えたり、連立方程式は解けているのにこたえるものを間違えたりしてしまっていました。一次関数も同様ですが、それぞれの文字は何を表しているのか、自分の作った式は何を表しているのか、設問で何を聞かれているのかを考えて解くことが必要です。"
小4,2026,2026/7/15 15:50,国語,本日も引き続き説明文を扱いました。相変わらず全体としてはどんどん解き進めるものの、少し長めの記述問題や分からない問題は再度一緒に読み直しても手が出ない状態でした。特に具体抽象の関係がまだよく理解できていないようで、何の例として出しているか？という問いにはかなり苦戦してしまいました。好き嫌いが分かれるものがある、例えば納豆など、という文章だったのですが、好き嫌いが分かれるの部分は頭に入らず、納豆が臭いというところだけ記憶に残っているような感じでした。説明文に関しては一文ずつ丁寧に論理を整理していく練習がまだまだ必要そうです。
小6,2026,2026/7/15 15:50,算数,本日は引き続き面積比について扱いました。まず割合についての理解があまり出来ておらず、5分の1の2分の1が10分の1という点を様々な図を書きながら説明しました。その後三角形の面積について、辺の比からそれぞれの三角形が全体の何分の何かを求める問題に取組みました。説明している段階では一つ一つの問いには答えられるものの、類題になると完全に手が止まってしまいました。改めて説明しながらなんとか解くことが出来ましたが、まだまだ数字を覚えた通りに計算する傾向が強いので、じっくり考える練習を増やしていければと思います。
中3,2026,2026/7/14 20:20,数学,本日は平方根の計算から始めました。宿題では間違えていた問題も落ち着いて解き直せば正解のものもあったので、ひとつひとつ丁寧に式変形するようにしていきましょう。その後は式の値に取組みました。理解はしているようですが、問題を問いている途中に余計なことを考えるのが課題です。そのページを解き終わるまで顔を上げずに問題に取り組むようにしていきましょう。
小6,2026,2026/7/14 17:20,算数,本日は前回の円や扇形の面積の続きから始めました。一部宿題範囲が解けていませんでしたが、一緒に考え方を確認すると問題なく解くことが出来ていました。また、併せて学校で今やっている範囲の問題も一緒に考えました。一部の考え方のみ少し納得できていない様子でしたので、一つ一つパーツに分けて考えてみるように指導しています。後半は体積を扱い、概ね問題なく出来ていましたが、三角形の面積の÷2を忘れてしまったり、底面積を出して満足してしまったりと抜けている箇所があったため、宿題でしっかり練習してもらえればと思います。
高3,2026,2026/7/14 17:20,数学,本日は順列と組み合わせの後半をメインで扱いました。自分でやっていて分からなくなったとのことでしたが、Pを使うかCを使うかというよりも、どうやって数えれば良いかを考えるようにしてきましょう。特に自分で図を書いてみて納得することが重要です。どの問題も一見複雑ですが、結局はこう考えたらこの計算で出せるといった風に数え方の整理でしかないので、なんどかやってパターンに慣れるのも有効です。
小6,2026,2026/7/14 15:50,国語,本日も引き続き物語文を扱いました。比較的よく解けていますが、記号問題も記述問題もあと一歩という印象です。どちらも共通して、一部の要素のみ考えてそのまま答えてしまっているようで、この部分はあっているがこの部分が違うとか、この部分の記述が足りないといった間違いが生じています。記述であればまず一番直接的な答えは何かを考えて付け足していく、記号であれば二択まで残した後に選択肢を見比べて本文に合うものを選ぶという点を今後も指導していきます。
